County,State,Age.Percent 65 and Older,Education.Bachelor's Degree or Higher,Education.High School or Higher,Ethnicities.Hispanic or Latino,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino,Housing.Households,Housing.Persons per Household,Income.Median Houseold Income,Income.Per Capita Income,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Percent Female,Population.2020 Population,Population.2010 Population,Population.Population per Square Mile,Employment.Firms.Total,Employment.Firms.Women-Owned,Employment.Firms.Men-Owned,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Veteran-Owned,Employment.Firms.Nonveteran-Owned,county_names_with_casing,county_fips,total_votes_2020,total_votes_2016,total_votes_2012,total_votes_2008,total_votes_2004,total_votes_2000,prop_favored_dem_2020,prop_favored_dem_2016,prop_favored_dem_2012,prop_favored_dem_2008,prop_favored_dem_2004,prop_favored_dem_2000,winner_2020
LOGAN COUNTY,ND,26.6,19.6,88.0,2.6,96.6,94.6,849,2.11,59375,32619,1.0,992.82,9.2,92.8,48.2,1876,1990,2.0,161,44,76,0,154,28,126,Logan County,38047.0,1076,1067,1073,1057,1130,1145,-0.745353159851301,-0.7253983130271789,-0.5386766076421249,-0.4039735099337748,-0.5123893805309734,-0.514410480349345,Republican
LOGAN COUNTY,NE,22.6,19.6,94.0,3.7,97.2,93.4,347,2.67,52708,24355,4.9,570.66,4.2,85.9,47.1,716,763,1.3,40,0,0,0,36,0,28,Logan County,31113.0,450,453,431,416,429,412,-0.8200000000000001,-0.8123620309050772,-0.6682134570765661,-0.5913461538461539,-0.675990675990676,-0.6699029126213591,Republican
LOGAN COUNTY,OH,18.7,16.5,92.6,2.1,94.7,93.0,18677,2.4,56754,29424,1.4,458.43,3.6,87.2,50.4,46150,45858,100.0,2908,1078,1513,117,2667,335,2408,Logan County,39091.0,23368,21571,21137,22217,21398,18455,-0.5524221157137967,-0.5243150526169393,-0.3108766617779249,-0.2661025340955124,-0.3573231143097485,-0.3199133026280141,Republican
LOGAN COUNTY,OK,16.4,27.7,90.1,6.7,82.8,77.4,15512,2.87,65357,31105,3.5,743.83,5.1,88.2,50.4,49555,41848,56.3,4007,1159,2265,707,3120,447,3349,Logan County,40083.0,21574,18979,17038,18273,16343,12870,-0.470612774636136,-0.4944939143263607,-0.4454748209883789,-0.3742680457505609,-0.4041485651349201,-0.2857031857031857,Republican
LOGAN COUNTY,WV,21.1,10.0,79.8,1.0,96.8,95.9,13816,2.36,36168,21936,0.2,453.74,0.6,89.3,50.7,32567,36743,81.0,1802,735,919,63,1623,126,1568,Logan County,54045.0,13026,12359,11946,13465,14987,14439,-0.6295869798863811,-0.6315235860506514,-0.3978737652770802,-0.1079093947270701,0.0553813304864215,0.248839947364776,Republican
LONG COUNTY,GA,10.2,17.4,87.7,11.0,65.6,57.2,5695,3.26,54605,22639,5.5,400.29,12.3,78.1,49.5,16168,14464,36.1,576,154,390,221,346,94,474,Long County,13183.0,5656,4117,3802,3450,3036,2314,-0.2643210749646393,-0.3075054651445227,-0.2272488164124145,-0.2408695652173912,-0.3165349143610013,-0.1490924805531547,Republican
LONOKE COUNTY,AR,13.8,20.6,89.1,4.6,89.8,85.8,26895,2.67,59094,27293,2.3,770.73,4.2,88.3,50.9,74015,68356,88.7,5024,1626,2835,406,4481,482,4361,Lonoke County,5085.0,30662,27100,24114,23741,22030,17943,-0.5282760420063923,-0.5274538745387454,-0.5082109977606369,-0.4748746893559664,-0.3152065365410803,-0.2092738115142395,Republican
LORAIN COUNTY,OH,18.8,24.9,89.7,10.4,86.2,77.7,120281,2.48,58427,30928,2.9,491.1,7.2,86.8,50.8,312964,301356,613.6,20914,7095,11319,2519,17554,1845,17889,Lorain County,39093.0,157437,140562,143253,146859,140730,112180,-0.0244732813760424,0.0009319730794951632,0.1539863039517497,0.1784568872183523,0.1262630569175015,0.1056516313068283,Republican
LOS ALAMOS COUNTY,NM,18.1,67.4,97.6,18.5,87.9,71.2,7931,2.34,121324,60746,9.8,109.17,14.3,88.0,48.9,19419,17950,164.4,1352,592,509,246,986,90,1111,Los Alamos County,35028.0,12293,10885,10654,11069,11197,10218,0.2664931261693647,0.2023886081763894,0.0370752768913084,0.0686602222422982,-0.0539430204519068,-0.1442552358582892,Democrat
LOS ANGELES COUNTY,CA,14.1,32.5,79.1,48.6,70.7,26.1,3316795,2.99,68044,34156,34.0,4057.88,56.6,89.7,50.7,10014009,9818605,2419.6,1146701,439513,601676,631218,481643,69608,1044750,Los Angeles County,6037.0,4264365,3434308,3181067,3318248,3021647,2695154,0.441649577369667,0.4934388528926351,0.4185922522222889,0.4036551818911666,0.2751846923217702,0.3111417752009718,Democrat
LOUDON COUNTY,TN,26.9,26.4,86.2,9.2,95.4,87.1,20669,2.51,58065,31478,7.2,229.22,8.7,88.9,50.7,54886,48556,211.8,4050,1276,2073,171,3698,532,3079,Loudon County,47105.0,29347,23391,22073,22184,19862,16406,-0.5031178655399189,-0.5425591039288615,-0.527748833416391,-0.4398214929679048,-0.4196455543248414,-0.2658173838839449,Republican
LOUDOUN COUNTY,VA,9.7,61.3,93.9,13.9,67.0,54.8,128637,3.06,142299,55744,24.5,515.56,31.6,87.4,50.4,420959,312311,605.8,33392,12179,17450,12053,19974,2922,28790,Loudoun County,51107.0,224976,183097,160060,139459,108430,75653,0.2501777967427636,0.168468079761001,0.0449019117830813,0.082526047081938,-0.120916720464816,-0.1522081080723831,Democrat
LOUISA COUNTY,IA,19.4,14.9,84.1,16.1,93.4,78.4,4335,2.55,56673,29021,9.0,401.77,17.8,91.2,49.0,10837,11387,28.3,846,267,534,57,763,133,657,Louisa County,19115.0,5332,5008,4968,4920,4916,4637,-0.3338334583645911,-0.2837460063897764,0.0064412238325282,0.0424796747967479,-0.0559397884458909,0.0187621306879448,Republican
LOUISA COUNTY,VA,20.3,24.1,85.2,3.3,80.8,78.1,13871,2.59,60975,34041,3.6,496.3,4.8,89.1,50.5,37596,33153,66.8,2460,812,1349,378,2023,289,2013,Louisa County,51109.0,21916,17631,16452,15353,12035,10096,-0.2292845409746304,-0.2447960977823152,-0.137490882567469,-0.0784211554745,-0.1860407145824678,-0.1141045958795561,Republican
LOUP COUNTY,NE,26.2,25.3,98.1,3.9,98.8,95.0,294,2.06,51000,27726,0.0,568.29,0.0,94.8,49.2,607,632,1.1,125,0,0,0,125,0,99,Loup County,31115.0,454,385,358,393,386,378,-0.6497797356828194,-0.7142857142857142,-0.6368715083798883,-0.549618320610687,-0.6373056994818653,-0.5291005291005291,Republican
LOVE COUNTY,OK,19.6,13.5,82.4,16.2,83.7,70.0,3268,3.05,49399,22036,6.4,514.0,13.1,90.5,49.9,10146,9423,18.3,686,249,357,124,529,42,618,Love County,40085.0,4076,3789,3470,3846,3833,3372,-0.6364082433758587,-0.5771971496437054,-0.4040345821325648,-0.3463338533541342,-0.1974954343855988,-0.08214709371293,Republican
LOVING COUNTY,TX,13.6,0.0,80.3,13.6,94.7,81.1,30,3.27,83750,33624,12.2,668.93,19.5,100.0,42.0,64,82,0.1,0,0,0,0,0,0,0,Loving County,48301.0,66,65,64,79,80,156,-0.8484848484848484,-0.8307692307692308,-0.703125,-0.6962025316455696,-0.6625,-0.6089743589743589,Republican
LOWNDES COUNTY,AL,19.8,14.7,78.3,1.9,26.0,25.1,4251,2.35,30036,20209,0.8,715.91,0.4,88.7,53.0,10311,11299,15.8,884,433,406,585,282,49,810,Lowndes County,1085.0,6835,6684,7521,7278,6021,6243,0.458814923189466,0.4685816876122082,0.530647520276559,0.500137400384721,0.4064108952001328,0.4675636713118693,Democrat
LOWNDES COUNTY,GA,12.6,25.3,86.6,6.0,57.6,53.0,41282,2.69,42441,23348,3.4,496.07,5.8,84.6,51.7,118251,109233,220.2,8296,2967,4312,2189,5541,936,6738,Lowndes County,13185.0,46355,37805,39137,39240,31622,25432,-0.1202459281630891,-0.1738129877000396,-0.0985512430692184,-0.0928899082568807,-0.204446271583075,-0.1512268008807801,Republican
LOWNDES COUNTY,MS,16.3,23.4,86.0,2.1,52.8,51.2,22436,2.56,50441,26438,2.3,505.51,3.1,86.7,52.4,58879,59779,118.3,4847,1726,2594,1439,3149,579,3956,Lowndes County,28087.0,27241,25575,27158,27387,20748,19230,-0.0261737821665871,-0.056774193548387,-0.0047868031519257,-0.0286632343812758,-0.2283593599383073,-0.2010920436817472,Republican
LUBBOCK COUNTY,TX,12.7,30.1,86.2,36.3,86.5,52.7,113488,2.58,52429,27922,5.9,895.6,21.6,74.7,50.7,310639,278831,311.3,24033,7661,13054,5379,17682,2239,20311,Lubbock County,48303.0,120817,99013,91184,97534,93151,76008,-0.3215110456309956,-0.3800309050326724,-0.407944376206352,-0.3672360407652716,-0.5116745928653477,-0.4944874223765919,Republican
LUCAS COUNTY,IA,22.4,17.0,92.1,2.4,97.6,95.7,3701,2.29,55205,31069,3.0,430.59,5.2,89.0,48.8,8634,8898,20.7,690,193,398,0,664,146,521,Lucas County,19117.0,4630,4354,4323,4471,4571,4303,-0.434341252699784,-0.3762057877813504,-0.0617626648160999,-0.0673227465891299,-0.1216364034128199,-0.0762258889147106,Republican
LUCAS COUNTY,OH,16.7,26.3,89.3,7.4,74.2,68.2,179930,2.34,48736,29226,3.7,340.86,6.7,83.6,51.6,431279,441815,1296.2,32125,10880,17865,5648,25200,2782,27656,Lucas County,39095.0,200623,197556,210218,219830,220189,187350,0.1677175598012192,0.1778483063030229,0.3171755035249122,0.3145430559978164,0.2063227500011354,0.1868267947691486,Democrat
LUCE COUNTY,MI,21.1,18.4,88.4,1.7,78.4,77.2,2231,2.35,45469,22350,1.8,899.08,4.9,84.3,40.4,5339,6631,7.4,637,295,299,0,608,90,504,Luce County,26095.0,3001,2579,2596,2740,2829,2536,-0.4221926024658448,-0.4168282279953471,-0.2268875192604006,-0.1091240875912408,-0.2488511841640155,-0.2066246056782334,Republican
LUMPKIN COUNTY,GA,17.8,26.4,84.8,5.1,94.7,90.2,11570,2.67,51790,27155,3.9,282.93,5.2,82.5,50.4,33488,29966,105.9,2451,677,1524,67,2333,266,2124,Lumpkin County,13187.0,15531,12425,10905,11075,8855,6750,-0.5818685210224712,-0.5954929577464788,-0.6044933516735442,-0.5182844243792325,-0.5193675889328062,-0.3416296296296295,Republican
LUNA COUNTY,NM,21.2,12.5,69.8,67.9,92.6,28.5,8904,2.65,29360,17168,17.8,2965.19,49.7,86.7,49.5,25427,25095,8.5,1353,463,565,713,538,92,1130,Luna County,35029.0,8103,7295,7500,8340,7593,6612,-0.1042823645563372,-0.038793694311172,-0.0116,0.0528776978417265,-0.1085210061899117,-0.0635208711433756,Republican
LUNENBURG COUNTY,VA,22.7,11.3,77.8,5.4,62.9,58.9,4293,2.63,44303,19848,6.1,431.68,4.8,94.4,47.1,11936,12914,29.9,900,283,547,183,697,78,780,Lunenburg County,51111.0,6002,5586,5734,5650,5245,4591,-0.1864378540486505,-0.1749015395631937,-0.0497035228461806,-0.0348672566371681,-0.0945662535748332,-0.1054236549771291,Republican
LUZERNE COUNTY,PA,20.2,22.9,89.8,13.8,89.3,79.3,128660,2.37,53473,28972,6.7,890.33,12.1,87.3,50.5,325594,320918,360.4,21934,6611,13109,2156,18842,2264,18271,Luzerne County,42079.0,153321,134983,124439,135163,136028,119586,-0.14385504921048,-0.1943726247008882,0.0480717459960301,0.0840836619489061,0.0339635957302908,0.0825431070526649,Republican
LYCOMING COUNTY,PA,19.8,23.4,90.1,2.2,92.0,90.3,45608,2.37,54241,27950,2.0,1228.59,3.7,86.1,51.0,114188,116111,94.5,8112,2326,4612,274,7456,872,6652,Lycoming County,42081.0,59254,50565,46493,49235,50049,43183,-0.4133223073547777,-0.4470879066548007,-0.3324156324608005,-0.2416776683253783,-0.365242062778477,-0.2888636732047333,Republican
LYMAN COUNTY,SD,16.2,20.3,89.7,2.6,55.3,54.7,1397,2.7,53862,22850,0.8,1641.94,7.8,92.7,48.2,3718,3755,2.3,303,108,179,32,265,96,198,Lyman County,46085.0,1597,1421,1569,1623,1940,1386,-0.3237319974953037,-0.4278676988036594,-0.2090503505417463,-0.1133703019100431,-0.0809278350515463,-0.2835497835497835,Republican
LYNCHBURG CITY,VA,14.1,35.6,88.7,4.2,65.0,62.3,28273,2.48,46409,23863,5.2,49.13,6.7,78.8,53.2,79009,75568,1538.2,5519,1719,2735,1165,3973,494,4540,Lynchburg city,51680.0,36364,35671,36448,34341,26340,23506,0.0261522384776152,-0.0894283872052927,-0.1058494293239684,-0.0398648845403453,-0.1014806378132118,-0.0912107547009274,Democrat
LYNN COUNTY,TX,16.4,17.3,75.4,46.8,93.3,49.9,2154,2.68,43382,24917,5.5,891.87,28.9,81.3,48.7,5596,5915,6.6,298,100,130,47,237,39,246,Lynn County,48305.0,2293,2009,1959,2116,2271,2084,-0.6214566070649803,-0.5689397710303633,-0.4762633996937213,-0.3998109640831758,-0.5662703654777631,-0.4534548944337812,Republican
LYON COUNTY,IA,18.4,20.7,90.6,2.8,97.3,95.1,4548,2.55,64982,29124,1.7,587.65,3.2,91.9,49.2,11934,11581,19.7,1036,246,519,40,940,119,876,Lyon County,19119.0,6863,6377,6509,6217,6101,5342,-0.6776919714410607,-0.6699074800062725,-0.546166845905669,-0.4497345986810358,-0.5651532535649894,-0.4876450767502807,Republican
LYON COUNTY,KS,15.6,27.5,88.3,21.8,90.2,70.5,13569,2.34,46338,26904,10.2,847.47,17.9,76.2,51.4,32179,33690,39.8,2558,727,1320,197,2166,210,2108,Lyon County,20111.0,13988,12288,11875,12911,13440,12455,-0.1068773234200743,-0.1548665364583333,-0.1144421052631579,-0.0599488807993183,-0.202157738095238,-0.1173825772782015,Republican
LYON COUNTY,KY,26.0,16.9,87.8,2.2,91.8,89.8,3333,2.1,52528,26994,1.6,213.84,2.7,86.7,44.0,8680,8314,38.9,641,120,419,0,607,74,535,Lyon County,21143.0,4228,3962,3839,3855,3925,3420,-0.4749290444654683,-0.4401817264008077,-0.2706433967178953,-0.1667963683527885,-0.092484076433121,-0.0023391812865497,Republican
LYON COUNTY,MN,16.5,26.1,92.0,7.2,89.6,83.3,10018,2.44,57730,29634,8.0,714.56,11.4,85.5,50.1,25269,25857,36.2,1983,485,1188,54,1811,85,1773,Lyon County,27083.0,12893,12215,12388,12708,12673,11489,-0.2594431086636158,-0.2808841588211215,-0.0911365837907652,-0.0161315706641485,-0.1507930245403613,-0.11750369919053,Republican
LYON COUNTY,NV,21.2,14.4,86.9,18.1,89.4,73.8,21189,2.56,56875,27855,6.9,2001.19,14.3,86.4,48.9,59235,51980,26.0,2844,1041,1417,317,2357,269,2346,Lyon County,32019.0,30229,23762,21465,21103,17151,11992,-0.4113268715471898,-0.4149061526807508,-0.2860470533426508,-0.1776524664739611,-0.3206227042154976,-0.2764342895263509,Republican
MACKINAC COUNTY,MI,28.6,23.3,90.7,2.0,74.0,72.6,5269,1.99,47938,28966,3.4,1021.57,4.9,87.9,49.2,10834,11113,10.9,1310,424,655,117,1096,219,1003,Mackinac County,26097.0,7015,6097,6099,6396,6599,5970,-0.2383464005702066,-0.2721010332950632,-0.1221511723233317,-0.0376797998749218,-0.1344143051977572,-0.123785594639866,Republican
MACOMB COUNTY,MI,17.4,24.9,89.9,2.8,80.3,78.0,346402,2.49,62855,32238,11.2,479.22,14.2,88.0,51.3,881217,840978,1754.9,72641,25548,40845,10765,60452,6425,63988,Macomb County,26099.0,494256,419312,404086,419216,402410,345559,-0.0807496520022013,-0.115303163276987,0.0398504278792138,0.0861632189611084,-0.014925076414602,0.0241926848960669,Republican
MACON COUNTY,AL,20.9,20.4,81.8,1.9,17.3,16.5,7474,2.2,33370,20419,0.6,608.89,2.5,90.5,54.5,19532,21452,35.2,1399,704,638,1089,268,159,1188,Macon County,1087.0,8723,9140,10394,10877,9407,8831,0.6381978677060645,0.6712253829321663,0.742158937848759,0.7404615243173669,0.6622727755926439,0.7444230551466424,Democrat
MACON COUNTY,GA,18.1,8.8,73.6,4.5,35.9,32.8,4696,2.4,32161,17883,2.1,400.64,7.7,87.1,45.3,12082,14740,36.8,1029,430,516,591,398,119,854,Macon County,13193.0,4662,4287,4781,4984,4777,4355,0.2303732303732303,0.271751807790996,0.3484626647144949,0.3087881219903692,0.2208499057986183,0.2734787600459242,Democrat
MACON COUNTY,IL,20.4,22.1,90.4,2.4,77.7,75.8,43912,2.32,50480,29644,2.0,580.69,3.5,84.3,52.1,103998,110768,190.8,7229,2882,3310,1608,5170,709,5918,Macon County,17115.0,49390,48060,48899,51216,51746,49499,-0.176999392589593,-0.1773408239700374,-0.0517188490562178,0.0105240549828178,-0.0923163143044872,0.0087274490393745,Republican
MACON COUNTY,MO,22.8,16.3,88.2,1.8,94.6,93.1,5845,2.55,42746,22136,1.0,801.23,3.2,92.6,50.6,15209,15566,19.4,1406,403,693,0,1286,149,1127,Macon County,29121.0,7836,7621,7160,7474,7570,7175,-0.5632976008167432,-0.5576695971657263,-0.3340782122905028,-0.241102488627241,-0.2400264200792602,-0.197212543554007,Republican
MACON COUNTY,NC,28.9,23.8,89.3,7.4,95.1,88.6,15921,2.16,45507,28936,5.4,515.56,7.1,85.6,51.5,37014,33922,65.8,4247,1330,2106,214,3928,267,3736,Macon County,37113.0,20743,17734,16861,17238,15024,13234,-0.3847563033312442,-0.4088756061802188,-0.3038372575766562,-0.214468035735004,-0.2635117145899894,-0.2813208402599365,Republican
MACON COUNTY,TN,16.1,10.3,80.3,5.1,95.8,91.7,9170,2.56,37430,22527,2.4,307.14,3.9,85.7,51.1,25216,22248,72.4,2072,623,1137,64,1966,124,1880,Macon County,47111.0,9487,7504,6905,7360,7434,6491,-0.7156108358806789,-0.6917643923240939,-0.5370021723388849,-0.4191576086956521,-0.2597524885660479,-0.047296256354953,Republican
MACOUPIN COUNTY,IL,20.4,18.4,91.3,1.3,97.1,96.0,18875,2.36,55159,28809,0.9,862.91,1.6,88.9,50.6,44967,47765,55.4,3090,806,1801,81,2943,362,2550,Macoupin County,17117.0,24022,22360,21010,22373,22785,21389,-0.3658313212888185,-0.3413685152057245,-0.0705378391242266,0.0982881151387833,-0.009655475093263,0.0591893029127121,Republican
MADERA COUNTY,CA,14.3,14.6,71.9,58.8,85.9,33.2,44881,3.28,57585,22853,20.2,2137.07,45.3,87.9,51.8,156255,150865,70.6,8094,3202,3888,3203,4524,618,7044,Madera County,6039.0,53732,43112,39866,42355,38780,33395,-0.1155735874339313,-0.1467804787530154,-0.1714242713088848,-0.1329477039310589,-0.2937080969571944,-0.2585117532564755,Republican
MADISON COUNTY,AL,15.3,42.8,91.7,5.2,68.9,64.5,148189,2.38,65449,36620,5.5,801.59,6.9,83.2,51.1,388153,334811,417.7,28357,10709,14385,6614,20536,3129,23728,Madison County,1089.0,194767,163389,155059,152899,131062,113318,-0.0795514640570528,-0.1634014529741904,-0.1861807441038572,-0.149431977972387,-0.1871556973035662,-0.1231225401083676,Republican
MADISON COUNTY,AR,19.4,14.2,80.6,5.9,94.1,89.3,6279,2.57,41682,24356,3.5,834.26,4.6,90.9,49.9,16521,15717,18.8,1131,347,565,29,1055,143,940,Madison County,5087.0,7351,6841,6568,6328,6384,5628,-0.5570670657053463,-0.4882327145154218,-0.3294762484774665,-0.2888748419721871,-0.2274436090225564,-0.2366737739872068,Republican
MADISON COUNTY,FL,21.1,14.0,81.0,5.7,59.4,54.6,6778,2.41,37037,19510,4.3,695.95,7.3,86.5,46.9,17968,19224,27.6,1044,319,540,272,714,127,861,Madison County,12079.0,9380,8505,8715,8907,8304,6162,-0.1949893390191898,-0.1557907113462669,-0.0341939185312679,-0.0307623217693949,-0.0169797687861271,-0.0038948393378772,Republican
MADISON COUNTY,GA,17.4,18.5,83.2,6.1,86.0,80.7,10744,2.7,52500,24511,3.0,282.31,6.5,89.3,50.6,30120,28120,99.6,2104,630,1349,288,1789,190,1864,Madison County,13195.0,14937,11998,11104,11365,9833,7993,-0.5298922139653209,-0.5647607934655776,-0.5357528818443804,-0.4629124505059392,-0.4807281602766195,-0.4058551232328287,Republican
MADISON COUNTY,IA,17.6,24.5,94.2,2.2,96.8,94.9,6462,2.45,66316,35470,1.2,561.01,3.2,90.5,49.8,16548,15679,27.9,1531,467,713,0,1448,124,1313,Madison County,19121.0,9824,8636,8458,8480,8004,6969,-0.3451750814332247,-0.3105604446503011,-0.1191771104279971,-0.0997641509433961,-0.1446776611694153,-0.081647295164299,Republican
MADISON COUNTY,ID,7.1,36.4,95.9,7.8,95.1,88.2,11016,3.51,39160,16585,4.6,469.21,11.0,64.4,49.3,52913,37536,80.0,2759,681,1154,90,2538,108,2433,Madison County,16065.0,17112,15688,14412,13057,11637,8970,-0.636570827489481,-0.4933707292197858,-0.8751734665556481,-0.7278854254422914,-0.8478989430265532,-0.794314381270903,Republican
MADISON COUNTY,IL,17.6,26.8,92.5,3.4,87.6,84.6,107659,2.41,60738,32427,2.4,715.58,3.9,86.0,51.3,265859,269282,376.3,18813,6627,9196,1812,16295,2037,15471,Madison County,17119.0,137139,130179,122473,128334,123678,111104,-0.1326756065014328,-0.1528894829427173,-0.0137662995109126,0.0919631586329421,0.0324633322013616,0.0923099078341014,Republican
MADISON COUNTY,IN,18.7,18.4,88.4,4.4,88.3,84.6,51003,2.42,49522,25557,1.8,451.92,3.8,84.3,50.0,130129,131636,291.3,8151,3093,3916,748,7094,748,6919,Madison County,18095.0,51793,53909,52370,57340,54855,52216,-0.2257254841387831,-0.2556344951677828,-0.0451021577238877,0.0653819323334496,-0.1940388296417828,-0.0871954956335223,Republican
MADISON COUNTY,KY,14.2,30.8,87.5,2.7,91.7,89.5,33359,2.52,50060,25837,2.9,437.29,4.2,79.6,51.5,92701,82916,189.6,7252,2465,3763,394,6548,882,5839,Madison County,21151.0,43903,37371,33322,32537,30707,23666,-0.2681593512971779,-0.3114179443953868,-0.2885781165596303,-0.2244214279128377,-0.240889699417071,-0.1847798529536043,Republican
MADISON COUNTY,MO,19.6,15.6,84.4,2.3,96.4,94.6,5044,2.38,43636,24418,1.2,494.39,1.8,84.3,51.0,12626,12226,24.7,860,176,575,0,809,141,670,Madison County,29123.0,5676,5321,4930,5028,4918,4373,-0.6280831571529246,-0.5820334523585793,-0.3324543610547666,-0.1700477326968973,-0.1897112647417649,-0.1445232106105648,Republican
MADISON COUNTY,MS,13.9,48.4,91.7,3.1,57.5,55.1,39635,2.59,71824,38901,4.5,714.51,6.4,88.3,52.2,109145,95203,133.2,11227,3592,6225,2650,8046,1234,9158,Madison County,28089.0,56212,49802,49571,47177,37148,29859,-0.1183199316871841,-0.1590699168708083,-0.1570474672691695,-0.1562625855819573,-0.2980779584365241,-0.2911350011721759,Republican
MADISON COUNTY,MT,29.5,31.2,95.4,4.4,96.4,92.5,3570,2.24,54107,35719,3.7,3587.48,4.2,83.5,47.4,8623,7691,2.1,1438,400,724,25,1368,173,1133,Madison County,30057.0,6087,4778,4530,4568,3933,3656,-0.3975685887957943,-0.4430724152365006,-0.4064017660044149,-0.2659807355516637,-0.4792779049071955,-0.5191466083150985,Republican
MADISON COUNTY,NC,23.1,28.5,87.0,2.4,96.1,93.9,8403,2.42,45873,25956,1.9,449.57,2.3,88.6,50.7,21193,20764,46.2,1741,578,980,65,1645,186,1482,Madison County,37115.0,13076,11269,10113,10379,9463,8325,-0.2353930865708168,-0.2535273759872216,-0.0909720162167506,-0.0159938337026688,-0.0994399239141921,-0.1406606606606606,Republican
MADISON COUNTY,NE,16.2,23.0,90.4,15.8,92.6,78.7,14205,2.39,53188,28179,7.1,572.74,13.9,83.5,50.3,35585,34876,60.9,3752,989,1949,195,3367,290,3202,Madison County,31119.0,15765,14343,13885,14045,14089,12853,-0.5367586425626387,-0.5519765739385066,-0.4736766294562477,-0.3925240299038804,-0.5711548016182837,-0.534038745818097,Republican
MADISON COUNTY,NY,18.9,26.2,92.0,2.3,94.6,92.9,25877,2.55,61633,30469,2.6,654.84,4.3,89.4,50.6,68016,73442,112.2,5105,1995,2537,146,4732,652,4211,Madison County,36053.0,34266,30064,28094,29778,30287,28366,-0.1050895931827467,-0.1419970729111229,0.04342564248594,0.008664114446907,-0.0963779839535114,-0.1008954382006627,Republican
MADISON COUNTY,OH,15.9,17.5,87.0,2.3,90.0,88.1,15013,2.58,68022,29164,1.5,465.88,3.8,83.0,45.6,43824,43435,93.2,2967,895,1714,57,2793,435,2371,Madison County,39097.0,19855,17290,17517,17451,17398,14667,-0.4098212037270208,-0.3962984384037015,-0.1996346406348119,-0.2332817603575726,-0.2827911254167146,-0.2457898684120815,Republican
MADISON COUNTY,TN,17.6,25.6,88.9,4.1,58.9,55.6,37944,2.47,48161,26722,3.0,557.12,4.7,89.4,52.6,98823,98294,176.4,7960,2451,4579,1932,5557,1094,6243,Madison County,47113.0,42950,38120,40702,43846,38665,33930,-0.129289871944121,-0.1544333683105981,-0.0890865313743796,-0.0702686676093599,-0.1250484934695461,-0.0613321544356026,Republican
MADISON COUNTY,TX,15.8,14.7,80.8,24.2,76.1,54.1,4269,2.59,52664,20748,10.6,466.07,19.4,87.9,42.4,13455,13664,29.3,1025,287,625,234,764,126,834,Madison County,48313.0,5298,4289,4028,4074,4101,3623,-0.5815402038505096,-0.5758918162741897,-0.5116683217477657,-0.428325969563083,-0.3906364301389905,-0.3014076731990064,Republican
MADISON COUNTY,VA,22.9,23.4,86.1,3.2,86.9,84.3,4949,2.62,57895,30777,3.0,320.68,3.6,89.2,51.6,13837,13308,41.5,1496,514,884,95,1356,213,1207,Madison County,51113.0,8133,6979,6614,6699,5772,5027,-0.3199311447190459,-0.317524000573148,-0.1859691563350468,-0.1337513061650992,-0.2390852390852391,-0.2180226775412771,Republican
MADISON PARISH,LA,14.9,12.8,73.9,2.2,35.5,33.9,3832,2.43,30350,16671,0.8,624.44,3.1,87.6,50.4,10017,12093,19.4,942,416,410,465,433,120,782,Madison Parish,22065.0,4670,4732,5187,5300,4673,4743,0.1550321199143468,0.1726542688081149,0.222479275110854,0.1788679245283018,0.0092017975604536,0.0763230023192072,Democrat
MAGOFFIN COUNTY,KY,17.8,9.5,69.7,1.2,98.4,97.4,5020,2.46,28147,18243,0.1,308.44,0.2,91.5,49.9,11637,13333,43.2,771,374,346,0,740,0,711,Magoffin County,21153.0,5446,5116,4906,4651,5718,5453,-0.5437017994858612,-0.5183737294761532,-0.3991031390134529,-0.0707374758116533,0.0012242042672263,-0.0333761232349165,Republican
